"&aacute;","á"
"&eacute;","é"
"&iacute;","í"
"&oacute;","ó"
"&uacute;","ú"
"&ntilde;","ñ"
"&quot;","”"
"&trade;","™"
"&copy;","©"
"&rdquo;","“"
"&reg;","®"
"&nbsp;"," "
"&iquest;","¿"
"&ldquo;","“"
"&lt;br&gt;"," "
"&bull;","·"
"&lt;span&gt;"," "
"&#12644;"," "
"&lt;/span&gt;"," "
"&ccedil;","ç"
"&atilde;","ã"
"&acirc;","â"
"&Aacute;","Á"
"&rsquo;","'"
"&ocirc;","ô"
"&ecirc;","ê"
"&Eacute;","É"
"&agrave;","à"
"&mdash;","—"
"&Agrave;","À"
"&otilde;","õ"
"&ordf;","ª"
"&lt;small&gt;&lt;sup&gt;TM&lt;/sup&gt; &lt;/small&gt;", "™"
"&Oacute;","Ó"
"&","e"